,k8s-worker-8,k8s-worker-1,k8s-worker-5,k8s-worker-9,k8s-worker-6,k8s-worker-2,k8s-worker-7,k8s-worker-4,k8s-worker-3
k8s-worker-3,802 Mbits/sec,717 Mbits/sec,490 Mbits/sec,348 Mbits/sec,1.10 Gbits/sec,446 Mbits/sec,516 Mbits/sec,360 Mbits/sec,0
k8s-worker-1,637 Mbits/sec,0,455 Mbits/sec,612 Mbits/sec,856 Mbits/sec,554 Mbits/sec,370 Mbits/sec,800 Mbits/sec,710 Mbits/sec
k8s-worker-8,0,890 Mbits/sec,865 Mbits/sec,1.00 Gbits/sec,1.61 Gbits/sec,888 Mbits/sec,977 Mbits/sec,851 Mbits/sec,1.24 Gbits/sec
k8s-worker-5,1.20 Gbits/sec,1.15 Gbits/sec,0,1.51 Gbits/sec,2.25 Gbits/sec,1.14 Gbits/sec,1.11 Gbits/sec,1.10 Gbits/sec,1.93 Gbits/sec
k8s-worker-9,417 Mbits/sec,588 Mbits/sec,534 Mbits/sec,0,905 Mbits/sec,466 Mbits/sec,478 Mbits/sec,525 Mbits/sec,874 Mbits/sec
k8s-worker-6,1.33 Gbits/sec,900 Mbits/sec,954 Mbits/sec,1.93 Gbits/sec,0,946 Mbits/sec,1.02 Gbits/sec,1.12 Gbits/sec,1.73 Gbits/sec
k8s-worker-2,696 Mbits/sec,577 Mbits/sec,602 Mbits/sec,861 Mbits/sec,414 Mbits/sec,0,709 Mbits/sec,755 Mbits/sec,865 Mbits/sec
k8s-worker-7,575 Mbits/sec,476 Mbits/sec,772 Mbits/sec,813 Mbits/sec,513 Mbits/sec,717 Mbits/sec,0,673 Mbits/sec,1.02 Gbits/sec
k8s-worker-4,514 Mbits/sec,480 Mbits/sec,594 Mbits/sec,533 Mbits/sec,493 Mbits/sec,799 Mbits/sec,324 Mbits/sec,0,604 Mbits/sec
