,k8s-worker-1,k8s-worker-8,k8s-worker-5,k8s-worker-9,k8s-worker-6,k8s-worker-2,k8s-worker-4,k8s-worker-7,k8s-worker-3
k8s-worker-3,618 Mbits/sec,551 Mbits/sec,575 Mbits/sec,426 Mbits/sec,643 Mbits/sec,751 Mbits/sec,732 Mbits/sec,732 Mbits/sec,0
k8s-worker-1,0,795 Mbits/sec,790 Mbits/sec,793 Mbits/sec,799 Mbits/sec,800 Mbits/sec,790 Mbits/sec,807 Mbits/sec,804 Mbits/sec
k8s-worker-8,806 Mbits/sec,0,758 Mbits/sec,764 Mbits/sec,750 Mbits/sec,753 Mbits/sec,753 Mbits/sec,752 Mbits/sec,813 Mbits/sec
k8s-worker-5,754 Mbits/sec,498 Mbits/sec,0,563 Mbits/sec,472 Mbits/sec,752 Mbits/sec,801 Mbits/sec,794 Mbits/sec,549 Mbits/sec
k8s-worker-9,722 Mbits/sec,721 Mbits/sec,710 Mbits/sec,0,722 Mbits/sec,730 Mbits/sec,809 Mbits/sec,721 Mbits/sec,805 Mbits/sec
k8s-worker-6,801 Mbits/sec,528 Mbits/sec,482 Mbits/sec,764 Mbits/sec,0,614 Mbits/sec,375 Mbits/sec,754 Mbits/sec,801 Mbits/sec
k8s-worker-2,Error,Error,Error,Error,Error,0,808 Mbits/sec,800 Mbits/sec,Error
k8s-worker-7,805 Mbits/sec,796 Mbits/sec,802 Mbits/sec,721 Mbits/sec,720 Mbits/sec,708 Mbits/sec,800 Mbits/sec,0,807 Mbits/sec
k8s-worker-4,663 Mbits/sec,Error,Error,Error,615 Mbits/sec,711 Mbits/sec,0,619 Mbits/sec,679 Mbits/sec
