,k8s-worker-5,k8s-worker-1,k8s-worker-8,k8s-worker-6,k8s-worker-9,k8s-worker-2,k8s-worker-7,k8s-worker-4,k8s-worker-3
k8s-worker-3,759 Mbits/sec,552 Mbits/sec,550 Mbits/sec,480 Mbits/sec,657 Mbits/sec,688 Mbits/sec,742 Mbits/sec,733 Mbits/sec,0
k8s-worker-1,762 Mbits/sec,0,767 Mbits/sec,786 Mbits/sec,747 Mbits/sec,800 Mbits/sec,791 Mbits/sec,807 Mbits/sec,815 Mbits/sec
k8s-worker-8,763 Mbits/sec,809 Mbits/sec,0,752 Mbits/sec,763 Mbits/sec,766 Mbits/sec,770 Mbits/sec,755 Mbits/sec,813 Mbits/sec
k8s-worker-5,0,421 Mbits/sec,749 Mbits/sec,572 Mbits/sec,766 Mbits/sec,463 Mbits/sec,739 Mbits/sec,717 Mbits/sec,666 Mbits/sec
k8s-worker-9,655 Mbits/sec,745 Mbits/sec,738 Mbits/sec,741 Mbits/sec,0,745 Mbits/sec,725 Mbits/sec,804 Mbits/sec,806 Mbits/sec
k8s-worker-6,492 Mbits/sec,804 Mbits/sec,509 Mbits/sec,0,745 Mbits/sec,520 Mbits/sec,497 Mbits/sec,750 Mbits/sec,801 Mbits/sec
k8s-worker-2,780 Mbits/sec,797 Mbits/sec,798 Mbits/sec,758 Mbits/sec,773 Mbits/sec,0,807 Mbits/sec,802 Mbits/sec,796 Mbits/sec
k8s-worker-7,725 Mbits/sec,737 Mbits/sec,756 Mbits/sec,772 Mbits/sec,772 Mbits/sec,766 Mbits/sec,0,799 Mbits/sec,806 Mbits/sec
k8s-worker-4,651 Mbits/sec,742 Mbits/sec,509 Mbits/sec,558 Mbits/sec,657 Mbits/sec,616 Mbits/sec,598 Mbits/sec,0,728 Mbits/sec
