,k8s-worker-5,k8s-worker-1,k8s-worker-8,k8s-worker-6,k8s-worker-9,k8s-worker-2,k8s-worker-7,k8s-worker-4,k8s-worker-3
k8s-worker-3,701 Mbits/sec,567 Mbits/sec,544 Mbits/sec,595 Mbits/sec,547 Mbits/sec,690 Mbits/sec,739 Mbits/sec,740 Mbits/sec,0
k8s-worker-1,788 Mbits/sec,0,784 Mbits/sec,797 Mbits/sec,769 Mbits/sec,793 Mbits/sec,798 Mbits/sec,804 Mbits/sec,796 Mbits/sec
k8s-worker-8,762 Mbits/sec,800 Mbits/sec,0,755 Mbits/sec,758 Mbits/sec,Error,Error,Error,803 Mbits/sec
k8s-worker-5,0,Error,Error,650 Mbits/sec,552 Mbits/sec,533 Mbits/sec,802 Mbits/sec,796 Mbits/sec,Error
k8s-worker-9,722 Mbits/sec,733 Mbits/sec,733 Mbits/sec,737 Mbits/sec,0,734 Mbits/sec,728 Mbits/sec,803 Mbits/sec,800 Mbits/sec
k8s-worker-6,521 Mbits/sec,800 Mbits/sec,527 Mbits/sec,0,754 Mbits/sec,553 Mbits/sec,442 Mbits/sec,744 Mbits/sec,796 Mbits/sec
k8s-worker-2,776 Mbits/sec,772 Mbits/sec,773 Mbits/sec,779 Mbits/sec,775 Mbits/sec,0,805 Mbits/sec,813 Mbits/sec,764 Mbits/sec
k8s-worker-7,769 Mbits/sec,764 Mbits/sec,749 Mbits/sec,803 Mbits/sec,803 Mbits/sec,809 Mbits/sec,0,805 Mbits/sec,807 Mbits/sec
k8s-worker-4,Error,727 Mbits/sec,Error,521 Mbits/sec,Error,623 Mbits/sec,760 Mbits/sec,0,726 Mbits/sec
