,k8s-worker-5,k8s-worker-8,k8s-worker-1,k8s-worker-9,k8s-worker-6,k8s-worker-2,k8s-worker-4,k8s-worker-7,k8s-worker-3
k8s-worker-3,615 Mbits/sec,500 Mbits/sec,582 Mbits/sec,656 Mbits/sec,653 Mbits/sec,515 Mbits/sec,494 Mbits/sec,705 Mbits/sec,0
k8s-worker-1,668 Mbits/sec,577 Mbits/sec,0,481 Mbits/sec,887 Mbits/sec,610 Mbits/sec,630 Mbits/sec,515 Mbits/sec,865 Mbits/sec
k8s-worker-8,978 Mbits/sec,0,1.02 Gbits/sec,788 Mbits/sec,760 Mbits/sec,1.10 Gbits/sec,1.09 Gbits/sec,973 Mbits/sec,1.28 Gbits/sec
k8s-worker-5,0,1.38 Gbits/sec,1.45 Gbits/sec,1.33 Gbits/sec,1.65 Gbits/sec,1.31 Gbits/sec,1.30 Gbits/sec,985 Mbits/sec,1.14 Gbits/sec
k8s-worker-9,601 Mbits/sec,459 Mbits/sec,618 Mbits/sec,0,607 Mbits/sec,644 Mbits/sec,504 Mbits/sec,549 Mbits/sec,622 Mbits/sec
k8s-worker-6,996 Mbits/sec,1.01 Gbits/sec,1.39 Gbits/sec,1.37 Gbits/sec,0,1.54 Gbits/sec,934 Mbits/sec,1.00 Gbits/sec,1.51 Gbits/sec
k8s-worker-2,558 Mbits/sec,519 Mbits/sec,710 Mbits/sec,1.04 Gbits/sec,577 Mbits/sec,0,496 Mbits/sec,590 Mbits/sec,922 Mbits/sec
k8s-worker-7,868 Mbits/sec,429 Mbits/sec,462 Mbits/sec,951 Mbits/sec,418 Mbits/sec,859 Mbits/sec,571 Mbits/sec,0,1.05 Gbits/sec
k8s-worker-4,438 Mbits/sec,452 Mbits/sec,426 Mbits/sec,637 Mbits/sec,534 Mbits/sec,467 Mbits/sec,0,396 Mbits/sec,973 Mbits/sec
